%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  1.00644E+00    5.77417E-02    5.37183E-01    2.50711E-02    1.65780E-03    4.65702E-03   -3.06299E-03
  1.00644E+00    6.19742E-02    5.53296E-01    2.43318E-02    1.77872E-03    4.72291E-03   -3.14620E-03
  1.00644E+00    6.65113E-02    5.68851E-01    2.34993E-02    1.89825E-03    4.77828E-03   -3.21584E-03
  1.00644E+00    7.13752E-02    5.83826E-01    2.25868E-02    2.01597E-03    4.82720E-03   -3.27233E-03
  1.00644E+00    7.65893E-02    5.98215E-01    2.16136E-02    2.13244E-03    4.87153E-03   -3.31600E-03
  1.00644E+00    8.21787E-02    6.12059E-01    2.05955E-02    2.24815E-03    4.90626E-03   -3.34930E-03
  1.00644E+00    8.81706E-02    6.25433E-01    1.95585E-02    2.36296E-03    4.93173E-03   -3.36986E-03
  1.00644E+00    9.45940E-02    6.38408E-01    1.85403E-02    2.47487E-03    4.94989E-03   -3.37039E-03
  1.00644E+00    1.01480E-01    6.50854E-01    1.75707E-02    2.57512E-03    4.94340E-03   -3.35396E-03
  1.00644E+00    1.08861E-01    6.62972E-01    1.66269E-02    2.66098E-03    4.90340E-03   -3.33231E-03
  1.00644E+00    1.16774E-01    6.74941E-01    1.56874E-02    2.73300E-03    4.84557E-03   -3.30357E-03
  1.00644E+00    1.25257E-01    6.86646E-01    1.47946E-02    2.78990E-03    4.80557E-03   -3.24897E-03
  1.00644E+00    1.34351E-01    6.98251E-01    1.39452E-02    2.83099E-03    4.77520E-03   -3.17520E-03
  1.00644E+00    1.44099E-01    7.09483E-01    1.30954E-02    2.84897E-03    4.71886E-03   -3.09852E-03
  1.00644E+00    1.54549E-01    7.20600E-01    1.22492E-02    2.85660E-03    4.62731E-03   -3.02085E-03
  1.00644E+00    1.65752E-01    7.31554E-01    1.14695E-02    2.85502E-03    4.53318E-03   -2.93918E-03
  1.00644E+00    1.77761E-01    7.42385E-01    1.07741E-02    2.83826E-03    4.48247E-03   -2.85151E-03
  1.00644E+00    1.90635E-01    7.52990E-01    1.01473E-02    2.81611E-03    4.42396E-03   -2.75672E-03
  1.00644E+00    2.04436E-01    7.63440E-01    9.57818E-03    2.79833E-03    4.28814E-03   -2.66044E-03
  1.00644E+00    2.19230E-01    7.73709E-01    9.03952E-03    2.77582E-03    4.07835E-03   -2.58107E-03
  1.00644E+00    2.35090E-01    7.84245E-01    8.44957E-03    2.75510E-03    3.85399E-03   -2.50667E-03
